dataset,embodiment,text
bridge,widowx,Place the spoon right next to the front left edge of the metal pot.
bridge,widowx,moved the green spoon to the right side of the other objects on the table
bridge,widowx,move the green cloth below the silver pan on the bottom right of burner
bridge,widowx,removed the building block from the right and added it o set on the left
bridge,widowx,move the blue cloth over where the fork was and put the fork on the corner of the table
bridge,widowx,Place the green lime inside the pot
bridge,widowx,picked up the blue fork and put it back down on the same location
bridge,widowx,take the silver lid and place it to the surface of the cloth
bridge,widowx,lift the yellow knife
bridge,widowx,move the blue rag on the wooden platform
bridge,widowx,take green block from blue block
bridge,widowx,move the broccoli to the bottom side of the table
bridge,widowx,put the silver pot on the right side of the silver pot cover
bridge,widowx,move the white sponge to the upper side of the left burner
bridge,widowx,Pick up the apple and place on the left of the blue spoon
bridge,widowx,put the pink stuff toy to the upper right side of the tablle near the cans
bridge,widowx,pick the carrot from the corner and place it on the middle
bridge,widowx,Put the corn on the yellow cloth.
bridge,widowx,fold the cloth from top left and bottom left
bridge,widowx,put the object on the top of the drawer
bridge,widowx,Place the croissant on top of the green towel
bridge,widowx,fold the cloth from the top right to the bottom left
bridge,widowx,puting the toy inside the drawer
bridge,widowx,Place the napkin to the right of the spoon.
bridge,widowx,move the can to the left side of the table
bridge,widowx,move the block
bridge,widowx,move the silver pot from the upper right to the lower right burner
bridge,widowx,Place the utensil on the yellow cloth
bridge,widowx,Place the fork between the pot and the sandwich.
bridge,widowx,Move cloth from bottom right of the table to the top left of the table
bridge,widowx,Move the pot to the front of the cans
bridge,widowx,move the silver lid from the silver bowl to the table
bridge,widowx,moving the spoon to the yellow basket.
bridge,widowx,move the blue cloth to the up left of the table
bridge,widowx,take off the silver lid and placed it on the lower right burner
bridge,widowx,Slide the blue towel away from the white utensil to the bottom left corner of the table.
bridge,widowx,put the oblong in top of blue box
bridge,widowx,Slide the blue rag to the corner behind the green handled spatula.
bridge,widowx,move the corn to the front right of the counter
bridge,widowx,folded the cloth from the bottom right to the left
bridge,widowx,moved the green can nearer to the yellow and red can
bridge,widowx,put broccoli in bowl
bridge,widowx,move the pig on the left side of the table
bridge,widowx,put the yellow knife on the yellow cloth
bridge,widowx,unfold the cloth from right to bottom left
bridge,widowx,moved the yellow brush from the silver pot to the right side of the mint green cloth .
bridge,widowx,move the oval thing to the middle right of the table
bridge,widowx,take the arch from tower and put it on the table
bridge,widowx,folded the cloth from bottom left to top right
bridge,widowx,Move the pan somewhat away from the orange cloth
bridge,widowx,put the red cuboid object on the right side of the table
bridge,widowx,move the yellow knife to the bottom of silver pot
bridge,widowx,put the rectangular block on top of the two blue cubes
bridge,widowx,Place the silver bowl left of the orange cloth.
bridge,widowx,move the pan to the far left of the table
bridge,widowx,take the sushi and put in the drawer
bridge,widowx,moved the green object to the left burner
bridge,widowx,put the green square block to thre top of red block
bridge,widowx,unfold the cloth from the left to the right
bridge,widowx,pick the knife and place it on the front edge of the table
bridge,widowx,Place the cube on the top right just off the stove area.
bridge,widowx,put the yellow brush in to the center of the burner
bridge,widowx,pick up the red object and place it above the drawer
bridge,widowx,move the sushi to the right side of the blue spoon handle
bridge,widowx,Place the cup to the left side of the napkin.
bridge,widowx,Take the object out of the pot and put it to the left bottom side of the cooker
bridge,widowx,takes an iron lid and puts it on top of the pot
bridge,widowx,put the white object in the drawer
bridge,widowx,Move the blue cloth so it is touching the side of the silver bowl.
bridge,widowx,Move the silver saucepan to the bottom of the left burner
bridge,widowx,move the carrot inside the drawer
bridge,widowx,put the strawberry in the drawer
bridge,widowx,toma objeto de arriba de repasador naranja y lo introduce dentro de la olla
bridge,widowx,move the cloth from  right to left
bridge,widowx,take the pot and put it on top of the green cloth
bridge,widowx,move the green towel to the right side of the table
bridge,widowx,UNFOLD THE CLOTH TO THE TOP
bridge,widowx,Move the napkin over to the left closer to the edge of the table.
bridge,widowx,Pick up the eggplant from pot put it on the table
bridge,widowx,move green object to the left side of the table
bridge,widowx,"move the red can to the left side of the stove, near the silver pot"
bridge,widowx,Put the spoon closer to the cloth and pot.
bridge,widowx,Move the blue cloth on the far edge of the table
bridge,widowx,move the cloth close to the bottom left side of the table.
bridge,widowx,move the bucket to the left of the table
bridge,widowx,Pick up the knife from the upper right corner of the table and placed it on the yellow cloth on lower left side of the table.
bridge,widowx,Put the pawn at the back of the table
bridge,widowx,Pick up the yellow object and put it inside the metal bowl
bridge,widowx,picked an orange jar from the silver pot and placed it on the right side of the table
bridge,widowx,put the sauce in the silver basket
bridge,widowx,move the purple napkin to the upper right of the stove
bridge,widowx,unfold cloth from center to top left
bridge,widowx,take the green thing out of the drawer and put it on the top of the table
bridge,widowx,Slide the green cloth to the top right of the pot.
bridge,widowx,Move the stirring spoon from center to edge of the table.
bridge,widowx,move the blue rectangular block at the bottom of the red rectangular block
bridge,widowx,unfold the orange cloth from top in the table
bridge,widowx,Pick up fork and place it on top of towel.
bridge,widowx,take the silver lid and put on the upper left side of the table
bridge,widowx,put pot or pan on stove and put egg in pot or pan
bridge,widowx,put the green object behind the drawer
bridge,widowx,Fold the cloth from right to left
bridge,widowx,Move the lobster tail to the front right-centre of the counter.
bridge,widowx,Move the green towel to the left of the cheese wedge
bridge,widowx,put the fork on the left side of the towel
bridge,widowx,Move the blue towel slightly to the left
bridge,widowx,move the blue towel to the left side of the table
bridge,widowx,Place the red vegetable on the yellow cloth.
bridge,widowx,move the
bridge,widowx,put the blue rectangle on top of the cylinder in the middle of the table.
bridge,widowx,Moving yellow object to bottom right edge of burners
bridge,widowx,Move the silver bowl to the right side of the blue spoon.
bridge,widowx,stand the cylinder
bridge,widowx,take the spoon and move the red object in the middle of the table
bridge,widowx,move the white basket to the middle of the table
bridge,widowx,Move the red spoon to the right side of the table
bridge,widowx,take the vessel and place it on the yellow cloth.
bridge,widowx,move cloth to top left of table
bridge,widowx,Take the toy out of the drawer and put it on the top left of the table.
bridge,widowx,move the green thing inside the drawer
bridge,widowx,it took the pot from the front left burner the to back right burner
bridge,widowx,lift the red fork and put it back from the left burner
bridge,widowx,moved the yellow object to the right corner
bridge,widowx,move cloth to the right of the table
bridge,widowx,put the  yelow figure on the top edge of the cloth
bridge,widowx,lift up a orange object
bridge,widowx,Move the pot to the right of the towel.
bridge,widowx,put the red block in the blue cylinder
bridge,widowx,move the orange object to the bottom left corner of the table
bridge,widowx,bring the red object next to the spatula
bridge,widowx,Move the metal pot behind the blue spoon.
bridge,widowx,placed the cloth to the right edge of the machine
bridge,widowx,PLACE THE BRUSH BEHIND THE CAPSICUM
bridge,widowx,pick the orange object from table and put down in the cloth
bridge,widowx,put pickle in pot or pan an put pot or pan on stove
bridge,widowx,Move the bowl from the back left to the front right corner.
bridge,widowx,unfold the cloth from the top left to bottom right
bridge,widowx,unfold the cloth from top to bottom
bridge,widowx,Takes the container and moves it next to the red spoon
bridge,widowx,moved the can from the cup to the pot
bridge,widowx,covered the pot in the left side with a pot lid
bridge,widowx,put the yellow brush on top of the blue cloth
bridge,widowx,Put the towel to the right of the spoon.
bridge,widowx,Put the blue item next to the near edge.
bridge,widowx,move tin can on the left burner
bridge,widowx,"Put mushroom in pot, laying down."
bridge,widowx,Move the orange pot into the silver pot on the bottom right burner
bridge,widowx,"Put the purple cloth directly left of bowl, at table's bottom edge."
bridge,widowx,Pick up spoon and place it in front of microwave.
bridge,widowx,put pepper in pot or pan
bridge,widowx,take the green vegetable and put it on the blue towel
bridge,widowx,removing the yellow object from the drawer and placing to the right side
bridge,widowx,takes the silver pot and places it on top of the orange cloth
bridge,widowx,put the blue cuboid on top of the green cuboid
bridge,widowx,move the pot to the right side of the sink
bridge,widowx,put the green spatula on top of the blue cloth
bridge,widowx,unfold the blue cloth on the stove from top to bottom
bridge,widowx,move the purple cloth to the right of the cup
bridge,widowx,move the white toy to the top of the drawer
bridge,widowx,Pick up the sushi and place it in the middle of the table
bridge,widowx,take the pineapple and put it in the silver pot
bridge,widowx,put the blue spoon on top of the left burner and yellow cloth
bridge,widowx,put  the blue object in the pot
bridge,widowx,drop the corn on the table.
bridge,widowx,fold the cloth from bottom left to the right
bridge,widowx,take the cloth across the lower left side of the table
bridge,widowx,folds the cloth from the bottom right to the top leftt
bridge,widowx,Put the yellow egg shape right of the silver pot.
bridge,widowx,put the stick in the cube with a hole
bridge,widowx,push the tin can to the lower left side of the table
bridge,widowx,Move the yellow towel to the back left of the table against the brick wall.
bridge,widowx,Place the pot to the left of the spoon
bridge,widowx,put the yellow block on top of the green arch
bridge,widowx,put the green rectangle on top of the yellow rectangle
bridge,widowx,move the knife aside the silver pot
bridge,widowx,Place carrot in front of microwave
bridge,widowx,remove the green object from the pot to the bottom of the table.
bridge,widowx,take the blue cloth and put it in the washing machine
bridge,widowx,Place the mushroom to the right of the metal pot.
bridge,widowx,moved the small tin from the Centre of the table to the left side
bridge,widowx,Slide the silver pot forward so that it's between the stove knobs and the chicken wing.
bridge,widowx,fold cloth from top tp bottom
bridge,widowx,Put a corn on the burner.
bridge,widowx,move the cloth to the left of the stove
bridge,widowx,Rotate a green arch 90 degrees anticlockwise
bridge,widowx,Put the red cylinder in the cube with the hole
bridge,widowx,move yellow towel to just left of metal bowl
bridge,widowx,moved the white object above the green cloth
bridge,widowx,move the yellow bell pepper to the upper side of the right burner
bridge,widowx,put white rectangular box to left side.
bridge,widowx,pick up silver pan lid and place on the upper right burner
bridge,widowx,Put the thing to the top of cube arch
bridge,widowx,covered the silver pot with the lid
bridge,widowx,move the black and white object to upper right of the burner
bridge,widowx,Move the towel to the right of the pot
bridge,widowx,move the pot to the front of the microwave
bridge,widowx,Place the fork in the middle of the front of the table.
bridge,widowx,move the egg next to the right burner
bridge,widowx,put the blue object on the table
bridge,widowx,Move blue cloth straight over towards red spoon
bridge,widowx,TAKE THE VEGETABLE FROM THE SILVER POT AND PUT ON THE RIGHT BURNER
bridge,widowx,MOVE BLUE SPATULA TO SIDE OF POT
bridge,widowx,put the blue rectangular block on top of the yellow rectangular block
bridge,widowx,Place the pot above the blue cloth.
bridge,widowx,move the silver pan to the bottom right burner
bridge,widowx,move the blue cloth on the lower side of the left stove
bridge,widowx,move silver pot from top left of the table to the bottom left of the table
bridge,widowx,end effector reaching salmon
bridge,widowx,put the yellow banana below the purple cloth
bridge,widowx,put the silver pot on the left burner
bridge,widowx,take the purple cloth and put it in the center of the two burners
bridge,widowx,move the blue cube to the left on green cube
bridge,widowx,pick up the pink toy and put it in the middle of the table
bridge,widowx,put the silver lid cover to the pot
bridge,widowx,put the sushi in the pan
bridge,widowx,move the blue spoon behind vegetable
bridge,widowx,takes the silver pot and places it on the lower right burner
bridge,widowx,put the corn on top of the drawer
bridge,widowx,unfolds the cloth from left to right
bridge,widowx,put the wooden spatula in the left side of the sink
bridge,widowx,fold the cloth from the left to right
bridge,widowx,move the cloth from the top to the bottom
bridge,widowx,Clóse the drawer
bridge,widowx,Move the carrot near the wiall.
bridge,widowx,Move the beef out of the steel pan
bridge,widowx,moved the orange towel to the right of the stove above the yellow brush and next to the can.
bridge,widowx,Place the mushroom in the pot
bridge,widowx,Move the spoon to the middle of the pan and blue cloth
bridge,widowx,Move the yellow block in the middle of the table
bridge,widowx,move the light blue cloth to the upper side of the table
bridge,widowx,move the orange towel to the bottom left burner
bridge,widowx,Move the blue towel to the front left corner of the table
bridge,widowx,move the silver pot to the bottom left side  of the table
bridge,widowx,Put the corn onto the towel
bridge,widowx,Move the stirring spoon at the end of table.
bridge,widowx,take the silver pan and put it between the two burners
bridge,widowx,put the spoon into the bowl
bridge,widowx,open brown1fbox flap
bridge,widowx,move bowl to upper left of cooktop
bridge,widowx,moved the red spoon from the left-bottom to the right-bottom side of the table
bridge,widowx,Move the blue cloth all the way to the left
bridge,widowx,move the silver pot to the centre of the table
bridge,widowx,put the blue block on the white cylynder
bridge,widowx,move the blue toy to the lower middle side of the stove
bridge,widowx,Move the blue cloth from the center of the table to back right corner
bridge,widowx,move the  yellow object from the table to the top right of the  cloth
bridge,widowx,unfold the cloth from the top to the bottom
bridge,widowx,put the orange object on top of the blue cloth
bridge,widowx,Move the light blue towel to the right edge of the table.
bridge,widowx,Put the sushi outside the silver pot on the bottom right corner of the burner
bridge,widowx,Move the green rectangle near the yellow object.
bridge,widowx,Put the metal pot in the back right corner of the table.
bridge,widowx,Pick up the salt cellar from above the blue cloth placed it on table surface
bridge,widowx,move the spoon to the right of the pot
bridge,widowx,Move the white box from left side to right side
bridge,widowx,move the green napkin from down to upper left side of burner
bridge,widowx,Slide the green cloth to the left of the scoop.
bridge,widowx,move the pot below the right burner
bridge,widowx,jvbj
bridge,widowx,move the orange cup in between the left burners
bridge,widowx,Place the yellow brush to the right of the orange and white meat.
bridge,widowx,Move the can to the back edge of the table
bridge,widowx,Move the yellow cloth to the bottom-left of the stove
bridge,widowx,take the lid and put it on the pan
bridge,widowx,movio objeto rojo hacia abajo
bridge,widowx,move the yellow brush from the top right to top left
bridge,widowx,moved the green object inside the orange pot
bridge,widowx,fold the clothes
bridge,widowx,Move the purple object to the left side of the orange cloth
bridge,widowx,take the small spoon and put aside the pot
bridge,widowx,move the silver pot to the bottom right of the stove
bridge,widowx,move the green block to the left
bridge,widowx,moved the blue cloth to the top left of the table
bridge,widowx,Place the pot on the orange cloth.
bridge,widowx,unfold the cloth from the right to the left
bridge,widowx,move orange cloth from center of the table to top center of the table
bridge,widowx,grab the silver pot lid and put it on the lfet side of the stove
bridge,widowx,Put the blue cloth in between the pan and the red spoon
bridge,widowx,pick up red srewdriver
bridge,widowx,Put the spoon behind the clear container.
bridge,widowx,move the blue cloth to the right
bridge,widowx,put the yellow brush to the top right burner
bridge,widowx,nothing
bridge,widowx,move silver pot to middle
bridge,widowx,put the salmon to the left side of the table
bridge,widowx,takes the cylinder and places it on top of the orange block
bridge,widowx,moved the cloth from inside the bascket to the right side
bridge,widowx,put crackerbox on plate and spatula in pot or pan on stove
bridge,widowx,moved the spoon to the left side of the sink
bridge,widowx,put the red object into the drawer
bridge,widowx,Move purple cloth to middle top of table
bridge,widowx,wipe the table using the blue cloth
bridge,widowx,put the silver object over the silver pot
bridge,widowx,move the green object from the cloth to the top right of the cloth
bridge,widowx,moved the red pot to the upper right of the table
bridge,widowx,remove the block off of the red cube and put it on top of the blue triangle
bridge,widowx,moved a cloth from top left to bottom left
bridge,widowx,moved the green object between the towel and can
bridge,widowx,Set the pot behind the yellow brush.
bridge,widowx,put the silver pot on the upper left side of the left burner
bridge,widowx,move the red fork to the left side of the stove
bridge,widowx,move the can to the lower right of the table
bridge,widowx,place  the yellow spoon vertically beside the can
bridge,widowx,take the eggplant and put it between the two right bumers
bridge,widowx,move the doll to the middle left edge of the table
bridge,widowx,unfold the cloth from edge of the table to near the yellow object
bridge,widowx,Move the purple cloth to the upper left corner of the table
bridge,widowx,placed blue rectangular block from the table to on top of the arch
bridge,widowx,Pick the mango from green towel nad place it onleft corner
bridge,widowx,Move the silver pot to the bottom left burner
bridge,widowx,put cereal on plate and sweetpotato in pot or pan in sink
bridge,widowx,put the object from the upper right burner to the lower right burner
bridge,widowx,take the  the pot's covercle and put it in front of the blue object
bridge,widowx,PICK UP THE VESSEL KEEP NEAR TO THE WHITE TOWEL
bridge,widowx,opening the drawer
bridge,widowx,fold the cloth from bottom  right to top left
bridge,widowx,put the yellow triangle on top of the tower
bridge,widowx,put the measuring spoon  to the right side of the sink
bridge,widowx,moving the spoon to the left
bridge,widowx,move blue toy to on top of the drawer
bridge,widowx,Put the small yellow block on top of the bigger yellow block
bridge,widowx,push the pot to the left of the counter
bridge,widowx,put cauliflower on plate and pickle in pot or pan in sink
bridge,widowx,Pick up the blue spoon and place it on the blue cloth
bridge,widowx,moved the silver lid to the middle of the stove
bridge,widowx,put together the lid and the cooking pot.
bridge,widowx,Move the metal pot to the right of the mushroom.
bridge,widowx,move the spoon to the left of the orange pot
bridge,widowx,move the blue block to on the green cloth
bridge,widowx,move the pot from left side to right side
bridge,widowx,move something on the table
bridge,widowx,"Slide the can behind the blue fork, against the wall."
bridge,widowx,move the doll to the right side of the table
bridge,widowx,Place the blue spoon to the left of the pot
bridge,widowx,move the orange towel next to the basket
bridge,widowx,put the cooking pot on top of the purple cloth
bridge,widowx,move the blue cloth to the bottom left corner of the table
bridge,widowx,end effector reaching carrot
bridge,widowx,take the object from the top of the drawer
bridge,widowx,Pick up the blue spoon and place it on the far right corner of the table
bridge,widowx,moved the silver lid from the middle of the table to the lower left corner of the table
bridge,widowx,Move the blue fork to the bottom left side of the burner
bridge,widowx,move the tin to the middle lower side of the table
bridge,widowx,remove the green rectangle block from the yellow rectangle block
bridge,widowx,pick up the green arch on top of the white cylinder and blue cube and put it on the table
bridge,widowx,Place the mushroom on top of the blue towel
bridge,widowx,put the silver pot on the yellow cloth
bridge,widowx,moved the blue spoon to the left of the pot
bridge,widowx,put the orange object in the silver pot
bridge,widowx,Move the strawberry over between the silver bowl and the wall.
bridge,widowx,take the blue cloth and put above the table
bridge,widowx,put a green box on the top of a yellow box
bridge,widowx,unfold the cloth from top right to bottom left.
bridge,widowx,folded left top corner to right bottom corner
bridge,widowx,Put the pot on top of the blue towel
bridge,widowx,moved the can to the upper right corner of the right burner.
bridge,widowx,move yellow towel to lower part of table
bridge,widowx,Move the pot to the lower edge of the table.
bridge,widowx,move metal bowl above blue towel
bridge,widowx,moved the can from the top left to the bottom right
bridge,widowx,fold the cloth from right to left to cover the purple figure
bridge,widowx,Moved the stainless basket to the right burner.
bridge,widowx,move the light blue cloth to the lower left corner of the table  below the plush toy
bridge,widowx,move the blue spoon to the top of the right burner
bridge,widowx,moved the red fork from the center of the table to the lower left of the table
bridge,widowx,take the white object from the blue cloth  and put it on the right side burner
bridge,widowx,took the blue bar and put it on top of the yellow bar
bridge,widowx,place the bowl on the cloth.
bridge,widowx,moved the  spatula to the left side of the burner
bridge,widowx,move the towel to the back left table corner
bridge,widowx,Move the light blue towel to the center of the front edge of the table.
bridge,widowx,close the drawer.
bridge,widowx,move red spoon to just below green towel
bridge,widowx,Put the blue spoon on the yellow cloth
bridge,widowx,Pick up the broccoli and place it in the pan
bridge,widowx,move red spoon to right of orange pumpkin
bridge,widowx,unfold the cloth from center to bottom left
bridge,widowx,moved the lid to the top of the pot
bridge,widowx,move the cloth from the right to the lift
bridge,widowx,move the red object to the right side of the silver pan
bridge,widowx,Move the blue thing to the right side of the red fork
bridge,widowx,move the blue cloth to the upper right of the stove
bridge,widowx,move the tomato from the drawer to the top of the table
bridge,widowx,Move the broccoli to the right of the fork.
bridge,widowx,Move the pot forward to the edge of the table
bridge,widowx,Put the broccoli on the left side of the pan
bridge,widowx,put the croissant in the silver pot
bridge,widowx,Move the green cloth and put it in front of yellow brush
bridge,widowx,push the blue cloth to the bottom middle of the table
bridge,widowx,fold the cloth from upper left to bottom right
bridge,widowx,moved the silver pot to the right of the burner
bridge,widowx,TAKE THE WHITE BALL AND PUT IT INSIDE THE DRAWER
bridge,widowx,putting the lid of the pot on the left side of the table
bridge,widowx,move the white basket to the left corner
bridge,widowx,Place bell pepper inside of the pot.
bridge,widowx,put the spoon in the orange pot
bridge,widowx,Move the blue cloth on the left edge of the table.
bridge,widowx,move the cloth from the left side to the right side
bridge,widowx,fold the cloth from the top
bridge,widowx,Move the yellow cloth behind the pot with the bell pepper
bridge,widowx,move the silver pot to the top left of the stove
bridge,widowx,put the cooking stick on the left of the burner
bridge,widowx,move the silver pot to the upper right of the stove
bridge,widowx,unfold the cloth from the top left to the bottom
bridge,widowx,Pick up the pot and place it on the right of the blue spoon
bridge,widowx,move the can to lower left of the burner
bridge,widowx,Moved yellow object to lower right corner.
bridge,widowx,open the deck
bridge,widowx,move the silver pot on the right burner
bridge,widowx,Move the spoon so it's to the bottom right of the bowl.
bridge,widowx,move the fork to the right top of sink
bridge,widowx,Put blue fork with handle towards front right counter corner
bridge,widowx,pick up bowl and put in small4fbox
bridge,widowx,put the blue fork in the upper right side of the table
bridge,widowx,Move the silver pot to the top left side of the table
bridge,widowx,put the banana in the drawer
bridge,widowx,Move eggplant to front left edge of counter in front can
bridge,widowx,moved the cloth from the right to left
bridge,widowx,moved the silver pot to the bottom right of the burner
bridge,widowx,Fold the cloth from top right to bottom left
bridge,widowx,transfer the orange pot to the lower right burner
bridge,widowx,Place the rectangle wood on top of the square wood
bridge,widowx,move the orange cloth to the upper right of the right burner
bridge,widowx,move the silver can to the left side of the table
bridge,widowx,Move the blue towel to the top left corner of the stove top.
bridge,widowx,put down the red cube to the table between the green arch and blue triangle
bridge,widowx,put the green cube on top of the yellow cube.
bridge,widowx,put the red cube on top of rectangular block
bridge,widowx,put the mushroom in the pot
bridge,widowx,take the yellow corn toy and put it on top right side
bridge,widowx,move the red fork to the middle of the lower burners
bridge,widowx,move the yellow knife from bottom to top of the table
bridge,widowx,move the yellow object to the lower right side of the table
bridge,widowx,take the yellow object out of the drawer and put it on the table
bridge,widowx,Place the red spoon on the left side of the cloth
bridge,widowx,put the wooden rectangle to the other rectangle
bridge,widowx,put the blue ball spoon into the silver pan
bridge,widowx,move the mushroom to lower right of table
bridge,widowx,Take the corn out of the bowl and place it in between the towel and the canned goods.
bridge,widowx,move the silver pan beside the right side burner
bridge,widowx,move the corn to the left side of the orange pot
bridge,widowx,put the green spatula from the left burner to the right burner
bridge,widowx,put the orange pan on the bottom left burner
bridge,widowx,Move the cloth left to the spoon tip.
bridge,widowx,Move the silver pot on top of the blue rag.
bridge,widowx,Move the mushroom close to the microwave.
bridge,widowx,Place the black object on the blue cloth
bridge,widowx,Move the pepper and drop into the pot
bridge,widowx,move the rectangular block from a rectangular block to the center of the wooden table
bridge,widowx,put the spoon handle on the bottom side of the table
bridge,widowx,move the striped can behind the table.
bridge,widowx,Move the piece of corn out of the steel pan.
bridge,widowx,Move the blue fork to the right of the pot
bridge,widowx,move the silver pot to the upper left corner
bridge,widowx,fold fabric bottom to right
bridge,widowx,Put the brush to the right of the pan
bridge,widowx,Put the cucumber in the pot.
bridge,widowx,moved the can to the middle of the table
bridge,widowx,put the white figure on top of the cube
bridge,widowx,picked up the bunny and moved into the silver pot
bridge,widowx,put the tomato in the silver pot
bridge,widowx,Move orange cloth above blue spoon with bottom corner under handle
bridge,widowx,take the cauliflower and put it in the drawer
bridge,widowx,put the corn on the upper left side of the burner
bridge,widowx,moved the silver pot to the upper left of table
bridge,widowx,take the yellow object out of the pot and put it on the upper middle of the table
bridge,widowx,moved the duck to the bottom of the table
bridge,widowx,moved the purple towel to the bottom right of the table
bridge,widowx,take the yellow cube on top of the red arch and put it on top of the other cube
bridge,widowx,put the blue brush in the jone pot
bridge,widowx,move the silver pot to the bottom left corner of the table
bridge,widowx,put the cube on top of the arch
bridge,widowx,put the green substance in the silver bowl
bridge,widowx,put the blue cube on top of the plus
bridge,widowx,try to pull up the green cloth
bridge,widowx,"Move the metal pot behind the strawberry, near the back left corner of the table."
bridge,widowx,Move the spatula and place it in front of the microwave.
bridge,widowx,Rotate the spoon and placed it at the left side of the table
bridge,widowx,Moved the scoop to the left side of the cloth
bridge,widowx,Move the pot and place bottom left of table
bridge,widowx,put the silver pot cover on top of the silver pot
bridge,widowx,kfghuyti
bridge,widowx,move the cloth from right to left
bridge,widowx,move the spoon from the left of the bowl to the right of the bowl
bridge,widowx,moved can in between left and right burners
bridge,widowx,Pick up the spatula from pot and put it down on the table
bridge,widowx,Move the blue cloth to the right of the red pepper.
bridge,widowx,Pick up the spoon and move it to the front and center of the counter.
bridge,widowx,unfold the cloth from the middle to right
bridge,widowx,Place the broccoli to the right of the pot
bridge,widowx,move the blue cloth to the upper right of the table
bridge,widowx,move the green cloth to the top right of the burner
bridge,widowx,put the yello  knife in the  red pot on the right side of the sink
bridge,widowx,PICK UP THE VESSEL AND PLACE ON THE ANOTHER SIDE OF THE TABLE
bridge,widowx,Move the red vegetable from the silver pot to the top right corner of the table
bridge,widowx,moved green brocoli piece from inside the silver pot to the yellow basket
bridge,widowx,"Move green cloth to upper right of spoon, touching the spoon."
bridge,widowx,put the cylinder to the right from the tower
bridge,widowx,move the yellow napkin to upper right of the table
bridge,widowx,move broccoli between the left side burner
bridge,widowx,moved the fork on the upper left side of the stove
bridge,widowx,put the small cylinder on top of the cube with a hole
bridge,widowx,OPENS A SMALL BOX
bridge,widowx,put the yellow cloth in the basket
bridge,widowx,Take the silver vessel and place it on the orange cloth.
bridge,widowx,take the sushi on the drawer and put it on the right side of the table
bridge,widowx,put down the cloth from the burner
bridge,widowx,folded the cloth from top right to bottom left
bridge,widowx,move the white basket and hold up
bridge,widowx,Move the blue spoon to the bottom right corner of the table.
bridge,widowx,Move blue cloth to right of mushroom.
bridge,widowx,put the yellow brush on the top right edge of the cooker
bridge,widowx,fold cloth from top right to bottom left
bridge,widowx,move to the cloth left to the right
bridge,widowx,pick up the green thing and place it on the bottom right of the table
bridge,widowx,put the rectangular block on top of another rectangular block
bridge,widowx,moved the blue cloth to the bottom of the stove
bridge,widowx,pick yellow cube from the tower and place it on the table
bridge,widowx,move towel up to just below microwave
bridge,widowx,put the blue object on the top right of the cloth
bridge,widowx,Take the object away from the table
bridge,widowx,take the rectangle arch and put it on the blue rectangle
bridge,widowx,moved the green spatula to the top between the two burners
bridge,widowx,move silver pot from right side to left side
bridge,widowx,moved the orange pot to the upper part of the bench
bridge,widowx,put the silver pot above the yellow towel
bridge,widowx,Remove the blue cube from the arch and put on the left side of the table
bridge,widowx,fold the clothe from top right to bottom left
bridge,widowx,move the yellow cloth in the left side of the silver pot
bridge,widowx,Place the metal pot in front of the cans.
bridge,widowx,pick up the bite-sized mango in the silver pot and put it away from the stove
bridge,widowx,take the cylinder off of the plus and put it on the center of the table
bridge,widowx,put mushroom on plate and fry in pot or pan in sink
bridge,widowx,move the orange object between the spatula and pot
bridge,widowx,move the yellow knef to rigth of the blue cloth
bridge,widowx,pick up the chicken wings and put it in the orange pot
bridge,widowx,put the green bellpepper in the silver pot
bridge,widowx,remove the red object from the drawer
bridge,widowx,Pick up the red fork and place it behind the green cloth at the back of the table
bridge,widowx,put the the spoon upper left side of the table beside the pot
bridge,widowx,pick orange toy and place it near spoon
bridge,widowx,Place the pot in front of the left burner
bridge,widowx,fold the cloth from bottom right to  left
bridge,widowx,move the blue toy to the right side of the table
bridge,widowx,Move red object from green towel to left of bowl.
bridge,widowx,Pick up the pot and place it the front of the table
bridge,widowx,Mueve la tapa al lado izquierdo de la mesa
bridge,widowx,Pon bloque encima de torre
bridge,widowx,Move the yellow knife to the left of the blue cloth.
bridge,widowx,move the yellow brush to the bottom right of the table
bridge,widowx,move the green cloth to the bottom right corner of the stove
bridge,widowx,Put the red pepper into the silver bowl
bridge,widowx,move the orange pot to the left side of the silver pot
bridge,widowx,put the green triangle on top of the red cube.
bridge,widowx,pick a a red cone from left to rihgt on top of the table
bridge,widowx,Grab the white and red object at the top right of the table.  Move it down and to the left.  Place to the right of the spoon with yellow handle.
bridge,widowx,Put the pan onto the purple cloth
bridge,widowx,Moving object into the fry pan on the burner
bridge,widowx,moved the green object to the top right burner
bridge,widowx,move blue block on top of white block
bridge,widowx,Put the can to the upper left of the table
bridge,widowx,Removed the cube from the tower and put it on top of the cube with a hole
bridge,widowx,moved the can from the right bottom to the right upper side of the wooden table
bridge,widowx,put the knife on top of the yellow cloth
bridge,widowx,fold the cloth from bottom left corner to top right corner
bridge,widowx,picked the blue cloth out from the white basket and place it on the table
bridge,widowx,pick up the thing and put it on the center of the table
bridge,widowx,picking up the green pepper and placing it in the drawer
bridge,widowx,Move the mushroom to the left of the ice cream scoop
bridge,widowx,Put the potato in the pot
bridge,widowx,move the yellow bottle to the bottom left of the table
bridge,widowx,put the scooper to the upper right side of the table
bridge,widowx,moved the orange cloth to the top corner of the stove
bridge,widowx,It took the blue cube from the tower and put it and the right edge of the table
